PosGrp,SuggestedRole,TopFeatures,Player,Squad,League,UMAP_X,UMAP_Y
AM,AM-2,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",Amad Diallo,Manchester Utd,Premier League,4.702394485473633,1.6217299699783325
AM,AM-2,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",Ibrahim Salah,Rennes,Ligue 1,4.68826961517334,1.7072043418884277
AM,AM-2,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",Érik Lamela,Sevilla,La Liga,6.501762390136719,-0.901587188243866
WF,WF-0,"G+A-PK↑, Performance_Fls↓, Take-Ons_Att↑, TO↑, xG+xAG↑",Andrej Kramarić,Hoffenheim,Bundesliga,2.6354150772094727,11.477377891540527
WF,WF-0,"G+A-PK↑, Performance_Fls↓, Take-Ons_Att↑, TO↑, xG+xAG↑",Saïd Benrahma,Lyon,Ligue 1,2.1009368896484375,11.422163009643555
WF,WF-0,"G+A-PK↑, Performance_Fls↓, Take-Ons_Att↑, TO↑, xG+xAG↑",João Félix,Barcelona,La Liga,0.8773320317268372,12.036637306213379
WF,WF-0,"G+A-PK↑, Performance_Fls↓, Take-Ons_Att↑, TO↑, xG+xAG↑",Mama Samba Baldé,Lyon,Ligue 1,0.3121362030506134,13.008002281188965
WF,WF-0,"G+A-PK↑, Performance_Fls↓, Take-Ons_Att↑, TO↑, xG+xAG↑",Jeremy Doku,Manchester City,Premier League,0.9723964333534241,10.788442611694336
WF,WF-1,"Tackles_Att 3rd↓, Carries_Carries↓, Performance_Crs↓, Short_Cmp%↓, Aerial Duels_Won%↓",Álvaro djaló,Braga,Primeira Liga,0.9084398746490479,14.523117065429688
WF,WF-1,"Tackles_Att 3rd↓, Carries_Carries↓, Performance_Crs↓, Short_Cmp%↓, Aerial Duels_Won%↓",Ole Romeny,Utrecht,Eredivisie,1.8095296621322632,14.873710632324219
