Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Emile Smith Rowe,Arsenal,Premier League,MF,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.8586497,-2.978395
Emmanuel Boateng,Rio Ave,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.2774534,-7.554465
Enes Ünal,Bournemouth,Premier League,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.3762712,-4.500269
Erdon Daci,Westerlo,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.762368,-6.053605
Erik Botheim,Salernitana,Serie A,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.9234986,-7.3111787
Erling Haaland,Manchester City,Premier League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.5543346,-6.3540616
Ermedin Demirović,Augsburg,Bundesliga,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.74501,-5.353268
Evan Ferguson,Brighton,Premier League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.741011,-6.311024
Evanilson,Porto,Primeira Liga,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.8691034,-4.382088
Evann Guessand,Nice,Ligue 1,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.5153255,-5.5546985
Faris Pemi Moumbagna,Marseille,Ligue 1,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.1748505,-7.5747967
Fatih Kaya,Sint-Truiden,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.2561994,-6.149341
Federico Bonazzoli,Hellas Verona,Serie A,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",7.4911275,-5.260175
Felipe Augusto,Cercle Brugge,Belgian Pro League,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.2509646,-6.669366
Felipe Avenatti,Kortrijk,Belgian Pro League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",8.277188,-5.2208734
