Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Aaron Ramsdale,Arsenal,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.3000634,1.8955288
Aitor Fernández,Osasuna,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.22829,2.8324046
Alaa Bellaarouch,Strasbourg,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.1984394,1.7611612
Alban Lafont,Nantes,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.0327096,2.8913898
Alessandro Sorrentino,Monza,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.0691028,1.3575377
Alex Meret,Napoli,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.1783735,1.1657225
Alexander Meyer,Dortmund,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.3881162,4.7659087
Alexander Nübel,Stuttgart,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.4197007,3.6953263
Alexandre Oukidja,Metz,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.0109067,3.4209807
Alisson,Liverpool,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.8094528,3.4327276
Alphonse Areola,West Ham,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.8480718,1.5737183
Anatolii Trubin,Benfica,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.6679099,0.81643265
Andrea Consigli,Sassuolo,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.0493007,2.3179064
Andrew,Gil Vicente FC,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.4168348,2.1265702
Andries Noppert,Heerenveen,Eredivisie,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.375336,2.266714
Andriy Lunin,Real Madrid,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.0739992,1.5613077
André Ferreira,Granada,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.8188636,2.3504195
André Onana,Manchester Utd,Premier League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.7072358,3.5475667
Anthony Lopes,Lyon,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.6959035,3.407389
Anthony Moris,Union SG,Belgian Pro League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.2187865,2.5565524
Antonio Adán,Sporting CP,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.5135448,0.9022438
Antonio Sivera,Alavés,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.16518,2.834413
Arijanet Muric,Burnley,Premier League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.7214143,5.390457
Arnau Tenas,Paris S-G,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",3.46868,4.8599863
Arnaud Bodart,Standard Liège,Belgian Pro League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.330648,1.6547846
Arthur Desmas,Le Havre,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.89265,1.428332
Augusto Batalla,Granada,La Liga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.621045,4.6475973
Bart Verbruggen,Brighton,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.6426409,4.08967
Benjamin Lecomte,Montpellier,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.8449678,2.5705285
Benoît Costil,Salernitana,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.8672354,1.3319432
Bernd Leno,Fulham,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.91802204,2.8509324
Boris Radunović,Cagliari,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.6724942,2.844618
Brice Samba,Lens,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.3128555,4.009205
Bruno Brigido,Estrela,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.675943,1.0296118
Bruno Varela,Vitória,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.75385,3.7850037
Caio Secco,Moreirense,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.38679,3.1666393
Caoimhín Kelleher,Liverpool,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.78377825,3.5845633
Charles,Vitória,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.8803084,2.1070006
Christos Mandas,Lazio,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.0302079,4.0783725
Claudio Bravo,Betis,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.7967935,4.311781
Daniel Batz,Mainz 05,Bundesliga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.8671434,2.3862927
Daniel Bentley,Wolves,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.7117155,1.7021693
Daniel Figueira,Estoril,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.232055,0.7403076
Daniel Schmidt,Gent,Belgian Pro League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.646659,2.7428813
Daniel Schmidt,Sint-Truiden,Belgian Pro League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.6736039,4.5258946
David Gil,Cádiz,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.6603127,2.606124
David Raya,Arsenal,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.7255025,2.0714667
David Soria,Getafe,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.199265,2.8785784
Davy Roef,Gent,Belgian Pro League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.6248237,2.2841694
Dean Henderson,Crystal Palace,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.8730998,1.228863
Diant Ramaj,Ajax,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.735088,5.133341
Dida,Estrela,Primeira Liga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.109635,3.3939705
Dimitry Bertaud,Montpellier,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.521398,2.5940948
Diogo Costa,Porto,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.4068224,4.1010957
Ederson,Manchester City,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.0807807,4.1866026
Elia Caprile,Empoli,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.7366254,3.3480768
Eloy Room,Vitesse,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.8359075,5.058295
Emil Audero,Inter,Serie A,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",0.5538411,3.6076252
Emiliano Martínez,Aston Villa,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.98938674,3.2537835
Etienne Vaessen,RKC Waalwijk,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.9473574,5.3430114
Etrit Berisha,Empoli,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",1.9803298,2.4197137
Fabian Bredlow,Stuttgart,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",0.84635663,3.2894316
Fabijan Buntić,Vizela,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.6517028,1.8813752
Federico Ravaglia,Bologna,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.6257234,2.000957
Fernando,Almería,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.8228328,2.9978766
Filip Jørgensen,Villarreal,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.4895868,3.272746
Finn Dahmen,Augsburg,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.6223967,5.0709906
Fran Vieites,Betis,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.1591806,0.77198374
Francesco Ruberto,Vizela,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.5207825,3.4527068
Franco Israel,Sporting CP,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.8138422,0.7132718
Frederik Rønnow,Union Berlin,Bundesliga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.2821994,2.6400952
Gaga Slonina,Eupen,Belgian Pro League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.5296702,2.697314
Gaëtan Coucke,Mechelen,Belgian Pro League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.286227,4.1448665
Gerónimo Rulli,Ajax,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.764986,5.1836042
Gianluigi Donnarumma,Paris S-G,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.6905991,1.7891121
Giorgi Mamardashvili,Valencia,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.1688476,1.9328136
Gregor Kobel,Dortmund,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.4752244,4.5516205
Guglielmo Vicario,Tottenham,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.6289426,2.6216376
Guillaume Restes,Toulouse,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.6749039,0.9451122
Guillermo Ochoa,Salernitana,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.0275512,1.4593662
Hervé Koffi,Charleroi,Belgian Pro League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.5695207,4.1091576
Hugo Souza,Chaves,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.507228,2.4776876
Ignacio De Arruabarrena,Arouca,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",1.8818042,2.7454312
Ivan Provedel,Lazio,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.5337632,4.2891912
Ivo Grbić,Sheffield Utd,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.5621717,2.6071234
Ivor Pandur,Fortuna Sittard,Eredivisie,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.2677407,3.681837
Iván Villar,Celta Vigo,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.1596673,1.7733787
Iñaki Peña,Barcelona,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.216424,0.9713005
James Trafford,Burnley,Premier League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.4369926,5.4767237
Jan Oblak,Atlético Madrid,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.5812501,0.79250234
Janis Blaswich,RB Leipzig,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.067863,3.81292
Jason Steele,Brighton,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.6094083,2.8109374
Jasper Cillessen,NEC Nijmegen,Eredivisie,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.3746707,2.4452832
Jasper Schendelaar,Zwolle,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.8148427,4.849134
Jay Gorter,Ajax,Eredivisie,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.68118644,2.9472864
Jean Butez,Antwerp,Belgian Pro League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.795105,5.229587
Jeffrey De Lange,Go Ahead Eag,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.6080074,4.7523174
Jeremías Ledesma,Cádiz,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.1742215,4.1642036
Jeroen Houwen,RKC Waalwijk,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.0434735,4.9483156
Jesús Owono,Alavés,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.324994,2.5830698
Jhonatan,Rio Ave,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.4554522,2.9410653
Jiří Pavlenka,Werder Bremen,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.0213199,2.7253315
Jo Coppens,Sint-Truiden,Belgian Pro League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.0690794,4.591792
Jonas Omlin,Gladbach,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.765417,4.793399
Jordan Pickford,Everton,Premier League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.0379434,5.429854
Josep Martinez,Genoa,Serie A,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.3658319,4.1094604
José Sá,Wolves,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.0219307,1.7286632
João Gonçalves,Boavista,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.7277148,1.069753
Juan Musso,Atalanta,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.7701256,2.5164025
Justin Bijlow,Feyenoord,Eredivisie,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.0363755,4.1653833
Kasper Schmeichel,Anderlecht,Belgian Pro League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.7779015,4.659831
Kepa Arrizabalaga,Real Madrid,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.9340344,2.1101592
Kevin Müller,Heidenheim,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.3028383,4.8092904
Kevin Trapp,Eint Frankfurt,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.1612701,2.273316
Kewin,Moreirense,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.555606,3.012279
Keylor Navas,Paris S-G,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.1424011,1.0954204
Koen Casteels,Wolfsburg,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.1292315,4.412202
Kosuke Nakamura,Portimonense,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.795935,1.1082819
Lars Unnerstall,Twente,Eredivisie,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.5965874,3.9128323
Lorenzo Montipò,Hellas Verona,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.292994,3.5181887
Lucas Chevalier,Lille,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.5312802,2.9347222
Lucas Pirard,Kortrijk,Belgian Pro League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.0451827,2.9476302
Luiz Lúcio Reis Júnior,Famalicão,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.0831034,2.5799272
Lukáš Hrádecký,Leverkusen,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.8016481,1.4670775
Luuk Koopmans,Fortuna Sittard,Eredivisie,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",4.270481,1.8247402
Luís Maximiano,Almería,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.3153727,3.9142013
Maarten Vandevoordt,Genk,Belgian Pro League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.7228105,4.509533
Maduka Okoye,Udinese,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.5221107,0.91433823
Magrão,Rio Ave,Primeira Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",3.1531792,0.6369473
Manuel Neuer,Bayern Munich,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.3675107,4.156115
Manuel Riemann,Bochum,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.9128447,5.5020113
Marc-André ter Stegen,Barcelona,La Liga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.2236506,3.9346912
Marcel Schuhen,Darmstadt 98,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",2.6824224,5.3917174
Marcelo Carné,Estoril,Primeira Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.9080515,1.3845366
Marcin Bułka,Nice,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.44167036,3.0752716
Marco Bizot,Brest,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.2766726,3.384318
Marco Carnesecchi,Atalanta,Serie A,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.943976,2.2457316
Marco Silvestri,Udinese,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.0944836,1.0733002
Marco Sportiello,Milan,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.071989,3.1995277
Mark Flekken,Brentford,Premier League,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",3.525052,5.1605563
Mark Travers,Bournemouth,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.7677186,1.9290453
Marko Dmitrović,Sevilla,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.9954996,1.1877977
Martin Dúbravka,Newcastle Utd,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.408643,0.8784392
